>>> Test float to string <<<
  0.000000 in (b, -1): 0p-1074
  1.200000 in (e,  0): 1e+00
  1.200000 in (e,  1): 1.2e+00
  1.200000 in (e,  3): 1.200e+00
  1.200000 in (e,  6): 1.200000e+00
  1.200000 in (e, 10): 1.2000000000e+00
  1.200000 in (e,100): 1.1999999999999999555910790149937383830547332763671875000000000000000000000000000000000000000000000000e+00
  1.200000 in (E, -1): 1.2E+00
  1.200000 in (E,  0): 1E+00
  1.200000 in (E,  1): 1.2E+00
  1.200000 in (E,  3): 1.200E+00
  1.200000 in (E,  6): 1.200000E+00
  1.200000 in (E, 10): 1.2000000000E+00
  1.200000 in (E,100): 1.1999999999999999555910790149937383830547332763671875000000000000000000000000000000000000000000000000E+00
  1.200000 in (f, -1): 1.2
  1.200000 in (f,  0): 1
  1.200000 in (f,  1): 1.2
  1.200000 in (f,  3): 1.200
  1.200000 in (f,  6): 1.200000
  1.200000 in (f, 10): 1.2000000000
  1.200000 in (f,100): 1.1999999999999999555910790149937383830547332763671875000000000000000000000000000000000000000000000000
  1.200000 in (g, -1): 1.2
  1.200000 in (g,  0): 1
  1.200000 in (g,  1): 1
  1.200000 in (g,  3): 1.2
  1.200000 in (g,  6): 1.2
  1.200000 in (g, 10): 1.2
  1.200000 in (g,100): 1.1999999999999999555910790149937383830547332763671875
  1.200000 in (G, -1): 1.2
  1.200000 in (G,  0): 1
  1.200000 in (G,  1): 1
  1.200000 in (G,  3): 1.2
  1.200000 in (G,  6): 1.2
  1.200000 in (G, 10): 1.2
  1.200000 in (G,100): 1.1999999999999999555910790149937383830547332763671875
  1.200000 in (x, -1): 0x1.3333333333333p+00
  1.200000 in (x,  0): 0x1p+00
  1.200000 in (x,  1): 0x1.3p+00
  1.200000 in (x,  3): 0x1.333p+00
  1.200000 in (x,  6): 0x1.333333p+00
  1.200000 in (x, 10): 0x1.3333333333p+00
  1.200000 in (x,100): 0x1.3333333333333000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+00
  1.200000 in (X, -1): 0X1.3333333333333P+00
  1.200000 in (X,  0): 0X1P+00
  1.200000 in (X,  1): 0X1.3P+00
  1.200000 in (X,  3): 0X1.333P+00
  1.200000 in (X,  6): 0X1.333333P+00
  1.200000 in (X, 10): 0X1.3333333333P+00
  1.200000 in (X,100): 0X1.3333333333333000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+00
  1.000000 in (b, -1): 4503599627370496p-52
  1.000000 in (b,  0): 4503599627370496p-52
  1.000000 in (b,  1): 4503599627370496p-52
  1.000000 in (b,  3): 4503599627370496p-52
  1.000000 in (b,  6): 4503599627370496p-52
  1.000000 in (b, 10): 4503599627370496p-52
  1.000000 in (b,100): 4503599627370496p-52
  1.000000 in (e, -1): 1e+00
  1.000000 in (e,  0): 1e+00
  1.000000 in (e,  1): 1.0e+00
  1.000000 in (e,  3): 1.000e+00
  1.000000 in (e,  6): 1.000000e+00
  1.000000 in (e, 10): 1.0000000000e+00
  1.000000 in (e,100): 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+00
  1.000000 in (E, -1): 1E+00
  1.000000 in (E,  0): 1E+00
  1.000000 in (E,  1): 1.0E+00
  1.000000 in (E,  3): 1.000E+00
  1.000000 in (E,  6): 1.000000E+00
  1.000000 in (E, 10): 1.0000000000E+00
  1.000000 in (E,100): 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000E+00
  1.000000 in (f, -1): 1
  1.000000 in (f,  0): 1
  1.000000 in (f,  1): 1.0
  1.000000 in (f,  3): 1.000
  1.000000 in (f,  6): 1.000000
  1.000000 in (f, 10): 1.0000000000
  1.000000 in (f,100): 1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
  1.000000 in (g, -1): 1
  1.000000 in (g,  0): 1
  1.000000 in (g,  1): 1
  1.000000 in (g,  3): 1
  1.000000 in (g,  6): 1
  1.000000 in (g, 10): 1
  1.000000 in (g,100): 1
  1.000000 in (G, -1): 1
  1.000000 in (G,  0): 1
  1.000000 in (G,  1): 1
  1.000000 in (G,  3): 1
  1.000000 in (G,  6): 1
  1.000000 in (G, 10): 1
  1.000000 in (G,100): 1
  1.000000 in (x, -1): 0x1p+00
  1.000000 in (x,  0): 0x1p+00
  1.000000 in (x,  1): 0x1.0p+00
  1.000000 in (x,  3): 0x1.000p+00
  1.000000 in (x,  6): 0x1.000000p+00
  1.000000 in (x, 10): 0x1.0000000000p+00
  1.000000 in (x,100): 0x1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+00
  1.000000 in (X, -1): 0X1P+00
  1.000000 in (X,  0): 0X1P+00
  1.000000 in (X,  1): 0X1.0P+00
  1.000000 in (X,  3): 0X1.000P+00
  1.000000 in (X,  6): 0X1.000000P+00
  1.000000 in (X, 10): 0X1.0000000000P+00
  1.000000 in (X,100): 0X1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+00
  1.230000 in (b, -1): 5539427541665710p-52
  1.230000 in (b,  0): 5539427541665710p-52
  1.230000 in (b,  1): 5539427541665710p-52
  1.230000 in (b,  3): 5539427541665710p-52
  1.230000 in (b,  6): 5539427541665710p-52
  1.230000 in (b, 10): 5539427541665710p-52
  1.230000 in (b,100): 5539427541665710p-52
  1.230000 in (e, -1): 1.23e+00
  1.230000 in (e,  0): 1e+00
  1.230000 in (e,  1): 1.2e+00
  1.230000 in (e,  3): 1.230e+00
  1.230000 in (e,  6): 1.230000e+00
  1.230000 in (e, 10): 1.2300000000e+00
  1.230000 in (e,100): 1.2299999999999999822364316059974953532218933105468750000000000000000000000000000000000000000000000000e+00
  1.230000 in (E, -1): 1.23E+00
  1.230000 in (E,  0): 1E+00
  1.230000 in (E,  1): 1.2E+00
  1.230000 in (E,  3): 1.230E+00
  1.230000 in (E,  6): 1.230000E+00
  1.230000 in (E, 10): 1.2300000000E+00
  1.230000 in (E,100): 1.2299999999999999822364316059974953532218933105468750000000000000000000000000000000000000000000000000E+00
  1.230000 in (f, -1): 1.23
  1.230000 in (f,  0): 1
  1.230000 in (f,  1): 1.2
  1.230000 in (f,  3): 1.230
  1.230000 in (f,  6): 1.230000
  1.230000 in (f, 10): 1.2300000000
  1.230000 in (f,100): 1.2299999999999999822364316059974953532218933105468750000000000000000000000000000000000000000000000000
  1.230000 in (g, -1): 1.23
  1.230000 in (g,  0): 1
  1.230000 in (g,  1): 1
  1.230000 in (g,  3): 1.23
  1.230000 in (g,  6): 1.23
  1.230000 in (g, 10): 1.23
  1.230000 in (g,100): 1.229999999999999982236431605997495353221893310546875
  1.230000 in (G, -1): 1.23
  1.230000 in (G,  0): 1
  1.230000 in (G,  1): 1
  1.230000 in (G,  3): 1.23
  1.230000 in (G,  6): 1.23
  1.230000 in (G, 10): 1.23
  1.230000 in (G,100): 1.229999999999999982236431605997495353221893310546875
  1.230000 in (x, -1): 0x1.3ae147ae147aep+00
  1.230000 in (x,  0): 0x1p+00
  1.230000 in (x,  1): 0x1.4p+00
  1.230000 in (x,  3): 0x1.3aep+00
  1.230000 in (x,  6): 0x1.3ae148p+00
  1.230000 in (x, 10): 0x1.3ae147ae14p+00
  1.230000 in (x,100): 0x1.3ae147ae147ae000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+00
  1.230000 in (X, -1): 0X1.3AE147AE147AEP+00
  1.230000 in (X,  0): 0X1P+00
  1.230000 in (X,  1): 0X1.4P+00
  1.230000 in (X,  3): 0X1.3AEP+00
  1.230000 in (X,  6): 0X1.3AE148P+00
  1.230000 in (X, 10): 0X1.3AE147AE14P+00
  1.230000 in (X,100): 0X1.3AE147AE147AE000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+00
  3.141593 in (b, -1): 7074237752028440p-51
  3.141593 in (b,  0): 7074237752028440p-51
  3.141593 in (b,  1): 7074237752028440p-51
  3.141593 in (b,  3): 7074237752028440p-51
  3.141593 in (b,  6): 7074237752028440p-51
  3.141593 in (b, 10): 7074237752028440p-51
  3.141593 in (b,100): 7074237752028440p-51
  3.141593 in (e, -1): 3.141592653589793e+00
  3.141593 in (e,  0): 3e+00
  3.141593 in (e,  1): 3.1e+00
  3.141593 in (e,  3): 3.142e+00
  3.141593 in (e,  6): 3.141593e+00
  3.141593 in (e, 10): 3.1415926536e+00
  3.141593 in (e,100): 3.1415926535897931159979634685441851615905761718750000000000000000000000000000000000000000000000000000e+00
  3.141593 in (E, -1): 3.141592653589793E+00
  3.141593 in (E,  0): 3E+00
  3.141593 in (E,  1): 3.1E+00
  3.141593 in (E,  3): 3.142E+00
  3.141593 in (E,  6): 3.141593E+00
  3.141593 in (E, 10): 3.1415926536E+00
  3.141593 in (E,100): 3.1415926535897931159979634685441851615905761718750000000000000000000000000000000000000000000000000000E+00
  3.141593 in (f, -1): 3.141592653589793
  3.141593 in (f,  0): 3
  3.141593 in (f,  1): 3.1
  3.141593 in (f,  3): 3.142
  3.141593 in (f,  6): 3.141593
  3.141593 in (f, 10): 3.1415926536
  3.141593 in (f,100): 3.1415926535897931159979634685441851615905761718750000000000000000000000000000000000000000000000000000
  3.141593 in (g, -1): 3.141592653589793
  3.141593 in (g,  0): 3
  3.141593 in (g,  1): 3
  3.141593 in (g,  3): 3.14
  3.141593 in (g,  6): 3.14159
  3.141593 in (g, 10): 3.141592654
  3.141593 in (g,100): 3.141592653589793115997963468544185161590576171875
  3.141593 in (G, -1): 3.141592653589793
  3.141593 in (G,  0): 3
  3.141593 in (G,  1): 3
  3.141593 in (G,  3): 3.14
  3.141593 in (G,  6): 3.14159
  3.141593 in (G, 10): 3.141592654
  3.141593 in (G,100): 3.141592653589793115997963468544185161590576171875
  3.141593 in (x, -1): 0x1.921fb54442d18p+01
  3.141593 in (x,  0): 0x1p+02
  3.141593 in (x,  1): 0x1.9p+01
  3.141593 in (x,  3): 0x1.922p+01
  3.141593 in (x,  6): 0x1.921fb5p+01
  3.141593 in (x, 10): 0x1.921fb54443p+01
  3.141593 in (x,100): 0x1.921fb54442d18000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p+01
  3.141593 in (X, -1): 0X1.921FB54442D18P+01
  3.141593 in (X,  0): 0X1P+02
  3.141593 in (X,  1): 0X1.9P+01
  3.141593 in (X,  3): 0X1.922P+01
  3.141593 in (X,  6): 0X1.921FB5P+01
  3.141593 in (X, 10): 0X1.921FB54443P+01
  3.141593 in (X,100): 0X1.921FB54442D18000000000000000000000000000000000000000000000000000000000000000000000000000000000000000P+01
      +Inf in (b, -1): +Inf
      +Inf in (b,  0): +Inf
      +Inf in (b,  1): +Inf
      +Inf in (b,  3): +Inf
      +Inf in (b,  6): +Inf
      +Inf in (b, 10): +Inf
      +Inf in (b,100): +Inf
      +Inf in (e, -1): +Inf
      +Inf in (e,  0): +Inf
      +Inf in (e,  1): +Inf
      +Inf in (e,  3): +Inf
      +Inf in (e,  6): +Inf
      +Inf in (e, 10): +Inf
      +Inf in (e,100): +Inf
      +Inf in (E, -1): +Inf
      +Inf in (E,  0): +Inf
      +Inf in (E,  1): +Inf
      +Inf in (E,  3): +Inf
      +Inf in (E,  6): +Inf
      +Inf in (E, 10): +Inf
      +Inf in (E,100): +Inf
      +Inf in (f, -1): +Inf
      +Inf in (f,  0): +Inf
      +Inf in (f,  1): +Inf
      +Inf in (f,  3): +Inf
      +Inf in (f,  6): +Inf
      +Inf in (f, 10): +Inf
      +Inf in (f,100): +Inf
      +Inf in (g, -1): +Inf
      +Inf in (g,  0): +Inf
      +Inf in (g,  1): +Inf
      +Inf in (g,  3): +Inf
      +Inf in (g,  6): +Inf
      +Inf in (g, 10): +Inf
      +Inf in (g,100): +Inf
      +Inf in (G, -1): +Inf
      +Inf in (G,  0): +Inf
      +Inf in (G,  1): +Inf
      +Inf in (G,  3): +Inf
      +Inf in (G,  6): +Inf
      +Inf in (G, 10): +Inf
      +Inf in (G,100): +Inf
      +Inf in (x, -1): +Inf
      +Inf in (x,  0): +Inf
      +Inf in (x,  1): +Inf
      +Inf in (x,  3): +Inf
      +Inf in (x,  6): +Inf
      +Inf in (x, 10): +Inf
      +Inf in (x,100): +Inf
      +Inf in (X, -1): +Inf
      +Inf in (X,  0): +Inf
      +Inf in (X,  1): +Inf
      +Inf in (X,  3): +Inf
      +Inf in (X,  6): +Inf
      +Inf in (X, 10): +Inf
      +Inf in (X,100): +Inf
      -Inf in (b, -1): -Inf
      -Inf in (b,  0): -Inf
      -Inf in (b,  1): -Inf
      -Inf in (b,  3): -Inf
      -Inf in (b,  6): -Inf
      -Inf in (b, 10): -Inf
      -Inf in (b,100): -Inf
      -Inf in (e, -1): -Inf
      -Inf in (e,  0): -Inf
      -Inf in (e,  1): -Inf
      -Inf in (e,  3): -Inf
      -Inf in (e,  6): -Inf
      -Inf in (e, 10): -Inf
      -Inf in (e,100): -Inf
      -Inf in (E, -1): -Inf
      -Inf in (E,  0): -Inf
      -Inf in (E,  1): -Inf
      -Inf in (E,  3): -Inf
      -Inf in (E,  6): -Inf
      -Inf in (E, 10): -Inf
      -Inf in (E,100): -Inf
      -Inf in (f, -1): -Inf
      -Inf in (f,  0): -Inf
      -Inf in (f,  1): -Inf
      -Inf in (f,  3): -Inf
      -Inf in (f,  6): -Inf
      -Inf in (f, 10): -Inf
      -Inf in (f,100): -Inf
      -Inf in (g, -1): -Inf
      -Inf in (g,  0): -Inf
      -Inf in (g,  1): -Inf
      -Inf in (g,  3): -Inf
      -Inf in (g,  6): -Inf
      -Inf in (g, 10): -Inf
      -Inf in (g,100): -Inf
      -Inf in (G, -1): -Inf
      -Inf in (G,  0): -Inf
      -Inf in (G,  1): -Inf
      -Inf in (G,  3): -Inf
      -Inf in (G,  6): -Inf
      -Inf in (G, 10): -Inf
      -Inf in (G,100): -Inf
      -Inf in (x, -1): -Inf
      -Inf in (x,  0): -Inf
      -Inf in (x,  1): -Inf
      -Inf in (x,  3): -Inf
      -Inf in (x,  6): -Inf
      -Inf in (x, 10): -Inf
      -Inf in (x,100): -Inf
      -Inf in (X, -1): -Inf
      -Inf in (X,  0): -Inf
      -Inf in (X,  1): -Inf
      -Inf in (X,  3): -Inf
      -Inf in (X,  6): -Inf
      -Inf in (X, 10): -Inf
      -Inf in (X,100): -Inf
      +Inf in (b, -1): +Inf
      +Inf in (b,  0): +Inf
      +Inf in (b,  1): +Inf
      +Inf in (b,  3): +Inf
      +Inf in (b,  6): +Inf
      +Inf in (b, 10): +Inf
      +Inf in (b,100): +Inf
      +Inf in (e, -1): +Inf
      +Inf in (e,  0): +Inf
      +Inf in (e,  1): +Inf
      +Inf in (e,  3): +Inf
      +Inf in (e,  6): +Inf
      +Inf in (e, 10): +Inf
      +Inf in (e,100): +Inf
      +Inf in (E, -1): +Inf
      +Inf in (E,  0): +Inf
      +Inf in (E,  1): +Inf
      +Inf in (E,  3): +Inf
      +Inf in (E,  6): +Inf
      +Inf in (E, 10): +Inf
      +Inf in (E,100): +Inf
      +Inf in (f, -1): +Inf
      +Inf in (f,  0): +Inf
      +Inf in (f,  1): +Inf
      +Inf in (f,  3): +Inf
      +Inf in (f,  6): +Inf
      +Inf in (f, 10): +Inf
      +Inf in (f,100): +Inf
      +Inf in (g, -1): +Inf
      +Inf in (g,  0): +Inf
      +Inf in (g,  1): +Inf
      +Inf in (g,  3): +Inf
      +Inf in (g,  6): +Inf
      +Inf in (g, 10): +Inf
      +Inf in (g,100): +Inf
      +Inf in (G, -1): +Inf
      +Inf in (G,  0): +Inf
      +Inf in (G,  1): +Inf
      +Inf in (G,  3): +Inf
      +Inf in (G,  6): +Inf
      +Inf in (G, 10): +Inf
      +Inf in (G,100): +Inf
      +Inf in (x, -1): +Inf
      +Inf in (x,  0): +Inf
      +Inf in (x,  1): +Inf
      +Inf in (x,  3): +Inf
      +Inf in (x,  6): +Inf
      +Inf in (x, 10): +Inf
      +Inf in (x,100): +Inf
      +Inf in (X, -1): +Inf
      +Inf in (X,  0): +Inf
      +Inf in (X,  1): +Inf
      +Inf in (X,  3): +Inf
      +Inf in (X,  6): +Inf
      +Inf in (X, 10): +Inf
      +Inf in (X,100): +Inf
       NaN in (b, -1): NaN
       NaN in (b,  0): NaN
       NaN in (b,  1): NaN
       NaN in (b,  3): NaN
       NaN in (b,  6): NaN
       NaN in (b, 10): NaN
       NaN in (b,100): NaN
       NaN in (e, -1): NaN
       NaN in (e,  0): NaN
       NaN in (e,  1): NaN
       NaN in (e,  3): NaN
       NaN in (e,  6): NaN
       NaN in (e, 10): NaN
       NaN in (e,100): NaN
       NaN in (E, -1): NaN
       NaN in (E,  0): NaN
       NaN in (E,  1): NaN
       NaN in (E,  3): NaN
       NaN in (E,  6): NaN
       NaN in (E, 10): NaN
       NaN in (E,100): NaN
       NaN in (f, -1): NaN
       NaN in (f,  0): NaN
       NaN in (f,  1): NaN
       NaN in (f,  3): NaN
       NaN in (f,  6): NaN
       NaN in (f, 10): NaN
       NaN in (f,100): NaN
       NaN in (g, -1): NaN
       NaN in (g,  0): NaN
       NaN in (g,  1): NaN
       NaN in (g,  3): NaN
       NaN in (g,  6): NaN
       NaN in (g, 10): NaN
       NaN in (g,100): NaN
       NaN in (G, -1): NaN
       NaN in (G,  0): NaN
       NaN in (G,  1): NaN
       NaN in (G,  3): NaN
       NaN in (G,  6): NaN
       NaN in (G, 10): NaN
       NaN in (G,100): NaN
       NaN in (x, -1): NaN
       NaN in (x,  0): NaN
       NaN in (x,  1): NaN
       NaN in (x,  3): NaN
       NaN in (x,  6): NaN
       NaN in (x, 10): NaN
       NaN in (x,100): NaN
       NaN in (X, -1): NaN
       NaN in (X,  0): NaN
       NaN in (X,  1): NaN
       NaN in (X,  3): NaN
       NaN in (X,  6): NaN
       NaN in (X, 10): NaN
       NaN in (X,100): NaN
